Brand,Parent_Company,DFW_Locations,Store_Type,Reports_ESG,CDP_Score,SBTi_Status,Emissions_Target,Renewable_Pct,Renewable_Note,Waste_Diversion_Pct,Waste_Note,Notable_Programs,Report_URL,Confidence,Data_Note,Sub_Reporting,Sub_Target,Sub_Renewable,Sub_Waste,Sub_Programs,Score_Raw_0to10,Sustain_Score_1to5,Sustain_Label
H-E-B,"H-E-B, LP (private)",13,Supermarket,Partial (web only),None,None,None disclosed,,67 rooftop solar sites; 5 MW wind; no %,60.0,60% diversion (2020); 87M lbs composted 2025,"Our Texas, Our Future; EPA GreenChill/SmartWay",https://ourtexasourfuture.com/,Medium,No GHG inventory or targets,1,0,0,1,1,3,2,Limited
Central Market,"H-E-B, LP",7,Supermarket,Partial (via H-E-B),None,None,None disclosed,,Inherits H-E-B,60.0,Inherits H-E-B (2020),H-E-B programs,https://ourtexasourfuture.com/,Medium,Banner; metrics are H-E-B parent,1,0,0,1,1,3,2,Limited
Whole Foods Market,"Amazon.com, Inc.",15,Super Store,"Partial (impact report, no GHG)",Not public,None (Amazon commitment removed 2023),No WFM target; Amazon net zero 2040 (Climate Pledge),,Not reported; 61 stores with solar; Amazon 100% matched,70.0,70% diverted (2023); 96% of stores in diversion programs,Natural refrigerants in new stores; food rescue; US Food Waste Pact,https://impact.wholefoods.com/,Medium,Climate metrics rely on Amazon parent,1,1,1,1,2,6,4,Strong
Sprouts Farmers Market,"Sprouts Farmers Market, Inc.",31,Supermarket,Yes,None,None,None; discloses Scope 1+2 (-2.8% y/y 2025),,Not reported,73.0,73% diversion 2025,Food Rescue (30M meals); low-GWP refrigeration,https://investors.sprouts.com/impact-reports/default.aspx,High,Reports data but sets no targets,2,0,0,1,1,4,3,Moderate
Trader Joe's,"Trader Joe's Co. (private, Aldi Nord family)",11,Supermarket,No,None,None,None disclosed,,Not reported,,Not reported,Neighborhood Shares food donation,None,Low,No sustainability report; EIA scorecard 17%,0,0,0,0,1,1,1,None / Undisclosed
WinCo Foods,"WinCo Foods, LLC (ESOP)",10,Supermarket,No,None,None,None disclosed,,Not reported,,Not reported,Food bank donations only,None,Low,No disclosures,0,0,0,0,0,0,1,None / Undisclosed
Fiesta Mart,Chedraui USA / Grupo Chedraui,29,Supermarket,"Partial (parent, Mexico-focused)",Not public,None,None; parent discloses Scope 1+2,,Parent 63% renewable (Mexico ops only); US not reported,,Not reported,Parent IFRS S2 climate report; sustainable seafood,https://inversionistas.grupochedraui.com.mx/,Medium,No Fiesta-specific data,1,0,0,0,1,2,2,Limited
El Rancho Supermercado,Heritage Grocers Group (Apollo),20,Supermarket,Partial (press only),None,None,None; group cut Scope 1+2 13% y/y (2024),,Renewable PPA for TX stores announced 2024; no %,,1.5M lbs food diverted (group); no %,Renewable PPA; LED/HVAC; refrigerant leak tagging,None,Medium,"Owned by Heritage Grocers since 2023, not Chedraui",1,0,0,1,1,3,2,Limited
El Rio Grande Latin Market,Private (Dallas),9,Supermarket,No,None,None,None,,Not reported,,Not reported,None found,None,High (none published),,0,0,0,0,0,0,1,None / Undisclosed
La Michoacana,"La Michoacana Meat Market (private, Houston)",37,Grocery Store,No,None,None,None,,Not reported,,Not reported,None found,None,High (none published),,0,0,0,0,0,0,1,None / Undisclosed
Natural Grocers,Natural Grocers by Vitamin Cottage (NYSE: NGVC),6,Supermarket,Partial (qualitative report),None,None,None disclosed,,Not reported,,No % reported; 500M plastic bags avoided since 2009,First US grocer to ban plastic checkout bags (2009); PG Most Sustainable Grocers 2025/26,https://www.naturalgrocers.com/sustainability-report,High,Report lacks GHG metrics,1,0,0,0,2,3,2,Limited
Brookshire's,"Brookshire Grocery Co. (private, Tyler TX)",4,Supermarket,No,None,None,None,,Not reported,,Not reported; ~600K lbs food donated/yr,EPA SmartWay; bag/bottle recycling; food bank giving,None,Medium,,0,0,0,0,1,1,1,None / Undisclosed
H Mart,H Mart Inc. (private),3,Supermarket,No,None,None,None,,Not reported,,Not reported,None found,None,High (none published),,0,0,0,0,0,0,1,None / Undisclosed
99 Ranch Market,"Tawa Supermarket, Inc. (private)",3,Supermarket,No,None,None,None,,Not reported,,Single-store EPA Food Recovery award (2018),EPA Food Recovery Challenge award (2018),None,Medium,"Dated, single-store datapoint",0,0,0,0,1,1,1,None / Undisclosed
Patel Brothers,Patel Brothers (private),4,Grocery Store,No,None,None,None,,Not reported,,Not reported,None found,None,High (none published),,0,0,0,0,0,0,1,None / Undisclosed
Foodland,"G.E. Foodland, Inc. (private, DFW)",9,Supermarket,No,None,None,None,,Not reported,,Not reported,Local food bank support,None,High (none published),Assumed G.E. Foodland,0,0,0,0,0,0,1,None / Undisclosed
India Bazaar,"Private (Pabari family, Plano)",9,Grocery Store,No,None,None,None,,Not reported,,Not reported,None found,None,High (none published),,0,0,0,0,0,0,1,None / Undisclosed
7-Eleven,"Seven & i Holdings / 7-Eleven, Inc.",424,Convenience Store,Yes,Not public,None found,Store Scope 1+2 -50% by 2030 vs FY2013 (-33% by FY2024); net zero 2050,23.0,~23% of US/Canada store electricity FY2024,,50% food-waste reduction goal by 2030; no %,7Charge EV network; HVAC efficiency program,https://corp.7-eleven.com/corp-press-releases/7-eleven-inc-releases-2025-impact-report,Medium,,2,1,1,1,1,6,4,Strong
Dollar General,Dollar General Corp. (NYSE: DG),184,Other,Yes,Not public,None,"Intensity only: -15% by 2026 (met), -30% by 2031 vs 2020 per sq ft",,"Not reported as %; ~3,300 stores on wind/solar agreements",66.0,66% landfill diversion 2025,ISO 50001 energy mgmt in 99% of stores,https://www.dollargeneral.com/content/dam/dg/assets/landing-pages/public-relations/corporate-social-responsibility/documents/Serving-Others-Report-FY25.pdf,High,No absolute target,2,1,0,1,1,5,3,Moderate
Dollar Tree,"Dollar Tree, Inc. (NASDAQ: DLTR)",151,Other,Yes,Not public (publishes CDP response),"None (1.5C-aligned, unvalidated)",Scope 1+2 -50% by FY2032 vs FY2023; net zero 2050,,Not reported as %; solar PPAs from 2026,70.0,70% diversion FY2025,Energy Efficiency Standard for new stores,https://corporate.dollartree.com/values/environmental-stewardship,High,,2,1,0,1,1,5,3,Moderate
Family Dollar,Brigade Capital / Macellum (private since Jul 2025),179,Other,No,None,None,None since divestiture from Dollar Tree,,Not reported,,Not reported,None post-divestiture,None,Low,Excluded from Dollar Tree reporting after 2025 sale,0,0,0,0,0,0,1,None / Undisclosed
CVS,CVS Health Corp. (NYSE: CVS),174,Other,Yes,"A- (secondary source, undated)",Net-zero validated (2021),Scope 1+2 -47% by 2030 vs 2019 (-43% by 2025); net zero 2050,33.0,33% renewable energy 2025; 50% by 2040,63.0,63% diversion 2025,Seven renewable PPAs; fleet electrification,https://www.cvshealth.com/impact/healthy-planet/climate-resiliency-and-energy.html,High,,2,2,1,1,2,8,5,Leader
Walgreens,"Walgreens Boots Alliance (private, Sycamore 2025)",153,Other,Yes,"B (FY2018, dated)",None,Scope 1+2 -30% by FY2030 vs FY2019 (achieved -38% by FY2025); no net zero,1.0,1% renewable FY2025,,>99% diversion at DCs; landfill waste -45% vs FY2019; no overall %,$500M+ efficiency upgrades; Green Box product recovery,https://corporate.walgreens.com/wp-content/uploads/2026/03/Walgreens-Impact-Report_FY25.pdf,High,,2,1,0,1,1,5,3,Moderate
QuikTrip,QuikTrip Corp. (private),164,Convenience Store,No,None,None,None,,Not reported,,Not reported,None found,None,High (none published),,0,0,0,0,0,0,1,None / Undisclosed
RaceTrac,"RaceTrac, Inc. (private)",99,Convenience Store,No,None,None,None,,Not reported,,Not reported,"EV chargers (DFW, 2023)",None,High (none published),Also operates Raceway (10 DFW sites),0,0,0,0,1,1,1,None / Undisclosed
Raceway,"RaceTrac, Inc. (private)",10,Convenience Store,No,None,None,None,,Not reported,,Not reported,See RaceTrac,None,High (none published),RaceTrac banner,0,0,0,0,1,1,1,None / Undisclosed
Circle K,Alimentation Couche-Tard (TSX: ATD),35,Convenience Store,Yes,Not public,None found,Scope 1+2 -24% vs 2020 achieved FY2026; 30% of sites carbon-neutral by 2030; no net zero,,Not reported group-wide; pursuing 100% via VPPAs,,Too Good To Go 4M+ meals; packaging goals; no %,"4,700+ EV charge points; $1B renewable investment goal",https://corporate.couche-tard.com/planet/,Medium,,2,1,0,1,2,6,4,Strong
Murphy USA,Murphy USA Inc. (NYSE: MUSA),46,Convenience Store,Partial (SASB summary),None,None,None; discloses Scope 1+2 only,,Not reported,,Not reported,Annual ESG Summary only,https://ir.corporate.murphyusa.com/investor-relations/esg-summary/default.aspx,Medium,,1,0,0,0,0,1,1,None / Undisclosed
Murphy Express,Murphy USA Inc.,37,Convenience Store,Partial (via Murphy USA),None,None,See Murphy USA,,Not reported,,Not reported,See Murphy USA,https://ir.corporate.murphyusa.com/investor-relations/esg-summary/default.aspx,Medium,Murphy USA banner,1,0,0,0,0,1,1,None / Undisclosed
Braum's,"W.H. Braum, Inc. (private)",63,Other,No,None,None,None,,Not reported,,Not reported,None found,None,High (none published),,0,0,0,0,0,0,1,None / Undisclosed
,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,
Blue cells (Sub_* columns Q-U) are hand-assigned 0/1/2 subscores per the Rubric sheet; edit them to re-score. Score columns V-X are formulas.,,,,,,,,,,,,,,,,,,,,,,,
Renewable_Pct and Waste_Diversion_Pct are blank when a company does not report a figure. CDP letter grades are no longer public without a CDP license; treat that column as informational.,,,,,,,,,,,,,,,,,,,,,,,
"Join key: Brand column matches the Brand field values in SNAP_Retailers_DFW_brands. Banners (Tom Thumb, Market Street, Central Market, Sam's Club, Murphy Express, Raceway) inherit parent metrics.",,,,,,,,,,,,,,,,,,,,,,,
"Compiled Sept 3, 2026 from company sustainability reports, EPA Green Power Partnership, SBTi coverage, and trade press. See Sources sheet.",,,,,,,,,,,,,,,,,,,,,,,
