FREQUENCY,Brand
1,Arapaho Food Mart
1,Arjan & Angad Llc
1,Ark Mart
1,Arkansas Food Mart
1,Arlington Gas And Mini Mart
1,ASAFO Market
1,Asap Store
1,Ash Lane Quick Stop
1,Asmara Grocery
1,Aso Rock Market Arlington Llc
1,Aso Rock Market Inc
1,Aso Rock Market Midway
1,Aspevero African Market
1,Athemy Food Mart
1,AUTRYS GROCERY STORE
1,Ayo Farmers Market
1,AYS Venture LLC
1,AZ Food Grocery
1,Azle Farmers Market
1,Azle Food Mart
1,Azle Food Store
1,Azle Stop
1,B-Hat's Mart
1,B-Z Mart
1,B-z Shop Food Store #1
1,B & E African Market
1,B&B Ventures
1,Baba's International Market
1,Bag's African And Caribbean Food Market Llc
1,Baja Food Mart
1,Baker Beverage
1,Banaadir Supermarket
1,Bear Creek Shell
1,Bedford Food Mart
1,Bedford Passport
1,Beer & Wine Convenience Store Inc.
1,Beltline Beer/wine Food Mart Coin Laundry
1,Beltline Mart
1,Beltline Swift Food Mart
1,Benbrook Corner Store
1,Bernal Food Mart
1,Berry Food Mart
1,Berry Superstore
1,Beverage City 7
1,Beverage World
1,BH Supermercado
1,BHARAT GROCERS
1,Big B
1,Big Bass Grocery & Beer
1,Big Boyz Beer & Wine
1,Big D Cutrate Beer & Wine
1,Big D Food Store 1
1,Big Daddy Convenience 1
1,Big M Express
1,Big Z
1,Bilad Bakery And Grocery
1,Bimbo Bakeries 841301
1,Bizone
1,BJ's Wholesale Club 252
1,BJ's Wholesale Club 264
1,Blessliz Catering And African Market
1,Blossom Fielder Phillips 66
1,Blue Fig Market
1,BNG C-Store
1,Bng C-store 100
1,Bob's Food Mart
1,Bombay Bazaar
1,Bombay Grocery & Kebab Corner
1,Bongou Lakay
1,Bonita Food Market
1,Bonnieview Dallas
1,Bpt Mart
1,Brake Time
63,Braum's
4,Break Time
2,Breaktime
1,Brentwood Food Mart
4,Brookshire's
1,Brother's Food Mart
1,Brownie's
1,Bruton Store
1,Buckner Shell
1,Buddha Food Mart
1,Burleson One Stop
1,Burton Hill Mart
1,Buy Low Beer & Wine
1,Buy N Save Discount Beer N Wine
1,Byrds Drive In
1,Bz Mart
1,C'ville Beverage Convenience
1,C & D Kwik Stop #2
1,C F Hawn Fwy Sunoco
1,C Stadium Beer And Wine
1,C Store # 12
1,C Store 11
1,C Town Asian Market
1,C&p Grocery
1,Camer Imports Market
1,Candleridge Market
1,Candy Girl Chicks & Livestock
1,Caribbean Mart
1,Carniceria Cara Blanca #3-
1,Carniceria Carmelita
1,Carniceria El Becerro Tarasco
1,Carniceria El Matamoros
2,Carniceria El Paya
1,Carniceria La Altena
1,Carniceria La Altena 2
1,Carniceria La Paloma
1,Carniceria La Ramitos
1,CARNICERIA LA SUPERIOR 1
1,CARNICERIA LA SUPERIOR 2
1,Carniceria La Suprema 1
1,Carniceria Las Delicias 1
1,Carniceria Los Arcos
1,Carniceria Los Arcos 2
1,CARNICERIA MI PUEBLO
1,CARROLLTON INDO PAK SUPER MARKET
1,CARROLLTON PLAZA SUPERMARKET
1,CASEY'S 4499
2,Cash & Carry
1,Cash Saver 19
1,Cash Saver 46
1,Cash Saver 74
1,Cash Saver 97
1,Cccp Market
1,Cedar Hill Farmers Market
1,Cedar Ridge Food Mart
1,Central Gas & More
7,Central Market
1,Charge Up 125 125
1,Charge up 72
1,Charge up 78
1,Charge Up 97
1,Charme Market
1,Checkers Grocery
1,Cheers Mini Mart 1
1,Chef Collette Catering And African Market
1,Cherry Lane Quick Stop 2
10,Chevron
3,Chilly Mart
1,Chilly Mart 11
1,Chilly Mart 12
1,Chilly Mart 41
1,Cho Saigon New Market
1,Chokhlei Market
1,Chuchu Grocery & Catering
1,Cigarette Mart 00001
1,Cigarette Mart 00002
1,Cigarette Mart 00007
1,Circle A
35,Circle K
1,Circle M Food Mart
1,Circle M Food Store
1,Circle M Store 1
1,Circle Q 1
1,Circle S Food Stop 3
1,City Seafood
1,Ck 108
1,Clark Loan Stop
1,Classic International Market
1,Cliff Stop 00002
1,Cockrell Hill Shell
1,Coconut Hill
1,Collins Food Mart
1,Columbia Food Mart
1,Como Food Mart
1,Cool Business Inc.
1,Coppell Farmers Market
1,Corner C Store
1,Corner Convenience Shop
1,Corner Food 9
1,Corner Food Store
2,Corner Market
1,Corner Market 103032
1,Corner Mart 01
2,Corner Stop
1,Corner Stop 2
1,Corner Store
1,Corner Store 1592
1,Corner Store 1770
1,Corner Store 2741194
1,Corner Store 2741211
1,Corner Store 2741565
1,Corner Store 2741567
1,Corner Store 2741568
1,Corner Store 2741572
1,Corner Store 2741577
1,Corner Store 2741580
1,Corner Store 2741583
1,Corner Store 2741585
1,Corner Store 2741742
1,Corner Store 2741759
1,Corner Store 2742055
1,Corner Store 2742187
1,Corner Store 2742248
1,Corner Store 2742375
1,Corner Store 2742419
1,Cost Plus 1
16,Costco
1,Country Boys Beer & Wine
1,Country C-store
1,Country Food Mart
1,COUNTRY MEAT MARKET
1,Cowboy Grocery Stote
1,Cowtown Farmers Market
1,Cowtown Mart
1,Cox Farms Market
1,COX FARMS MARKET
1,Cox Farms Market 3
1,Crooked Fork Land & Cattle
1,Crossroad Quickway
1,Crowley Shell
1,CT Grocery
1,Cuban Market Llc 1
174,CVS
1,CYNJOE AFRICAN FOOD
1,Cynjoe International Market Inc 2
1,D-town Fuel & Food
1,D And M Mini Mart N/A
1,D&o Food Market
1,Dafricana Inc 1
1,Daily Quick Mart
1,Daily Stop 1
1,Dairy Mart
1,Dairy Mart #7
1,Dairy Way 9
1,Dairyway Corner Stop
1,Dallas Bruton Fuel Mart
1,Dallas Farmers Market
1,Dallas Food Depot
1,Dallas Food Store
1,Dallas Superstore
1,Dan Food Store
1,Dannys Mart
1,Dash In Grocery
1,Dave Gas And Grill
1,David Grocery Food Store
1,Davis Food Mart
1,Davis Mart
1,Dearl's Grocery
1,Dees Way Grocery
1,Delisias
1,Denton Community Market
1,Deshi Bazzar Inc
1,Desi Bazaar
2,Desi Brothers
1,Desi Grocery
1,Desi Mandi
1,Desoto Beer And Wine
1,Desoto Grocery Food Mart
1,Devis Quick Stop
1,Dezi Bazaar N/A
1,Dfw Mini Mart
1,Dgc Realty Solutions Llc 33118B
1,Dgs Exotic Market
1,Diabetes Health And Wellness Center Farm Stand
1,Diamond Hill Food Mart
1,Diamond Shamrock Corner Store 274768
1,Dipdiya Enterprises Inc 1
1,Discount Mini Mart No 2
1,Discount Self Serve 2
1,Discount Tobacco And Beverage Corner
1,Discount Tobacco And Grocery
1,Dj's Food Mart
1,Doc 's Mart 1
184,Dollar General
1,Dollar Plus Store
1,Dollar Pointe Inc
1,Dollar Stuff & More
151,Dollar Tree
2,Don Cuco Meat Market
1,Don Cuco Meat Market Don Cuco#3
1,Dos Hermanos Enterprises Inc
1,Downtown Market
1,Duncanville Mart
1,Dynasty African Market LLC
1,E-Z  Mart 4240
1,E-Z  Mart 4342
1,E-z Check # 6
1,E-Z Mart 4339
1,E-Z Mart 4556
1,E-Z Mart 4560
1,E-Z Mart 4561
1,E Z SHOP #7
1,E2 Fuel Stop 54
1,Eagle Express
1,Eagle Food Beer & Wine
1,EAGLE FOOD MART
1,Eagle Mart 1
1,Eagle Oates Food Mart
1,Eddie Euro Mart Llc
1,El Ahorro Supermarket 12
1,El Calentano Meat Market
1,El Centro Meat Market
1,EL CENTRO SUPERMARKET
1,El Cubano Latin Market 1
1,El Cubano Latin Market 2
1,El Flaco Mini Mart
1,El Mayoreo Meat Market
1,El Mercadito Supermarket Inc
1,El Pariente America N/A
1,El Potosino Meat Market
1,El Primo Store Inc
1,El Ranchero Meat Market
20,El Rancho Supermercado
9,El Rio Grande Latin Market
1,El Tapatio Meat Market I
1,El Tapatio Meat Market II
1,Eli's African Market 1
1,Elite Mart
1,Emily Grocery
1,En Route Market
1,Enat Grocery
1,Energy Stop
1,Epic Market 101 1
1,Er African Market n/a
1,Euless Corner Store
1,Euless Enterprise Llc 1
1,Euless Food Store
1,Euro Delicatessen Too Inc
1,Euro Indo Mideast Market
1,Everman Market
1,Everman Super Market
1,Express Corner Store #1 1
1,Express Fuel Mart
1,Express Fuel Mart #5
1,Express Way
1,Expressway Food Store
6,Exxon
1,EZ Convenience Store
1,Ez Food Mart 1
1,EZ Food Mart 2
1,EZ Fuel Stop
1,Ez Shop
2,Ez Stop
1,EZ Stop #14
1,Ez Trip # 27
1,Ez Trip # 28
1,Ez Trip #25
1,Ez Trip 20
1,Ez Trip Food Store #18
1,Ez Trip Food Store #2
1,Ez Trip Food Store #22
1,EZ Trip Food Store 13
1,EZ TRIP FOOD STORE 9
1,Ez Trip Store 8
1,Ezstop #3
1,Ezstop #6a 1
1,Ezstop1
1,F & M African Store Llc.
1,Fair Park Farmers Market
1,Familia Food Market
1,Family C Store
179,Family Dollar
1,Family Mart
1,Famous Food Mart
1,Farmer's Delite 001
1,FARMERS MARKET OF FT WORTH
1,Fast Market 4555
1,Fast Trip Food Store
1,Fastway Mesquite
1,Fat Cat Express
1,Fate Grocery Store
1,Favor African Market Llc
1,Ferguson Food Mart
29,Fiesta Mart
2,Fina Mart
1,Flavor Spice
1,Flip Mart
1,Flower Mound 9053
1,Flowers Bakery Outlet 550
1,Flowers Bakery Outlet 940
1,Food-rite Market
1,Food Basket 25
1,Food City 4110
1,Food Mart 4626
1,Food Mart One
1,Food Plaza 11
1,Food Plus
1,Food Store Lucky 7
1,Foodfest
9,Foodland
1,For Oak Cliff Farmers Market NAFMNP
1,Forest Hill Food Mart
1,Fort Worth Express
1,Fort Worth Seafood
1,Fountain Grocery Store
1,Four Star Food Mart 1
1,Four Star Food Mart 4
1,Fresh And Ready Market
1,Fresh Halal Market
1,Fresh Stop Farm Stands
1,Friendly Mart
1,Frisco Four Star Llc
1,Fsk Food Mart
1,Ftk African Stores 426
1,Fuel City Cedar Hill
1,Fuel City Friendly's 0
1,Fuel City Haltom City Llc
1,Fuel City Mesquite
1,Fuel City Saginaw Llc
1,Fuel City Wylie
1,Fuel Stop
1,Fuel Zone 1
1,G & G Food Mart
1,G & K One Stop Food
1,Galloway Beer & Wine
1,Gana Shell
1,Garland Indopak Inc.
1,Gateway 01
1,Gateway 24
1,Gateway 27
1,Gateway 28 Gateway 28
1,Gateway 30
1,Gateway 62
1,Gebeta Ethiopain Grocery
1,GET N GO
1,Giza Speciality Foods
1,Global Food Market
1,Global Merchandise 1
1,Gloesis Group
1,Gm Food Store
1,Gol Super Market
1,Gold Star Food Mart
1,Golden Star Halal Market Afghan Bakery And Cafe
1,Golden Stop
1,Good Fortune Supermarket Of Dallas Inc
1,Good Local Markets - Tyler Street 4
1,Good Time Food Mart
1,Gopher Mart
1,Gourmet European Market
1,GPM # 4559 4559
1,Grab & Go
5,Grab N Go
1,Grab N Go NO
1,Grace Farmers Market
1,Grand City Grocery
1,Grand Trip
1,Grand Trip #3
1,Green Oaks Mart
1,Green Olive
1,Green Valley Meat Market & Grill Bbq King Express
1,Green Vine Market
1,Grocery Services North 10
1,Grocery Services North 12
1,Grocery Services North 23
1,Grocery Services North 3
1,Grocery Services North 4
1,Grocery Services North 5
1,Grocery Services North 7
1,Grocery Services North 8
1,Grocery Services North 9
1,Guanajuato Bakery
13,H-E-B
1,H & H Food Store
3,H Mart
1,H&m Food Mart
1,H2 Fresh
1,Hackney Food
1,Hall Store
1,Haltom Corner
1,Hampton Foodmart
1,Hamro Mart
1,Handy Food Mart
1,Handymart Food & Grocery Store
1,Happy's Market #1
1,Harar Grocery Llc.
1,Harar Senga Meart Sega
3,Hareli Fresh Market
1,Hazel Food Mart
1,Hazel Food Mart #4
1,Hello Food Mart
1,Hemphill Food Mart
1,Hemphill Food Mart 1
1,Henderson Plaza Inc 02
1,Henderson Texaco Food Mart
1,Hiep Thai Arlington 2
1,HIEP THAI FOOD STORE
1,Highland Food Store
1,Highland Mart
1,Highland Of 380
1,Hilda's Grocery
1,Hill Town Beverage #3 01
1,Himalayan Valley Foods Llc
1,Hippo Food Mart KG
1,Hitching Post Grocery
1,Hiwot Injera
1,Hms Mart Mesquite
1,Holiday Market One
1,Home Boys Dallas 1
1,Homefoods Ill Llc
2,Hong Kong Market Place
1,Hope Market African Store
1,Horizon Fresh Market
1,Howdy Doody
1,Hunt Food Store
1,Hurst Food Mart
1,Hwy 10 Food Mart
1,I-30 Truck Stop
1,Ib Richardson Llc
1,Ice House Beverage
1,Ice House Beverage #2
1,Import Food Mkt
9,India Bazaar
1,India Cash & Carry
1,India Import Supermarket
2,India Metro Hypermarket
1,India On The Go
1,Indian Super Market
1,INDIAN SUPERSTORE 1
1,Indo Pak World Market
1,Indopak Supermarket
1,Indopak Supermarket Murphy
1,Indopak Supermarket Plano
1,Indopak Supermarket Richardson
1,Industrial Gold Rush Ltd
1,Ingrams Diamond Shamrock
1,Inlay Asian Market
1,INTERNATIONAL FOOD LAND
1,Irving Beer and Wine
1,Irving Subzi Mandi Inc
1,Island Spice Groceries And More
1,Iyanu African Caribbean Marketplace
1,J DAVIS FISH MARKET
1,J&j Quickstop
1,J&S Asian Grocery
1,Jack's Market & Grill 2
1,Jalpadevi Corporation 14
1,Jarun Enterprise Inc
1,Jasmine Market
1,JASON'S GRILL & MINI MART #2
1,Jaxx Fuel #10
1,Jaxx Fuel 8
1,Jbc Market
1,Jefferson Mart
1,Jeremy's Grocery
1,Jerrys Market
1,JERRYS SUPERMARKET #1
1,JERRYS SUPERMARKET #3
1,Jerusalem Market
1,Jf African & Asian Market
2,Jimmy's Food Store
1,Jixx Market
1,Jjmg Food Mart 24/7
1,Jjolly's
1,Jm Farm Market
1,Jmn Chicken Mart
1,Joe Food Mart
1,Joe V's Smart Shop #803 803
1,Joe V's Smart Shop 805
1,Joe V's Smart Shop 815
1,Johnny Joe's Food Mart
1,Jolly Jolly Bakery
1,Joppy Momma Farm
1,Jtc Bless Import
1,Jtc Bless Imports
1,Jubilee Mart
1,Judy Ethiopian Grocery
1,Julice Food Mart
1,Jusgo Supermarket
1,K A MINIMART
1,K Convenience
1,K Corner Food Mart
1,K P Food Mart
1,K&k African Market Llc
1,Kabul Pameer Halal Market
1,Kannala Country Corner
1,Karby's Gateway Inc 29
1,Karby's Gateway Inc 57
1,Karma Mart
1,Kayan Spice Asian Market
1,Kc #2 Grocery & Grill
1,Kea Import Foods
1,Kelley Produce Dfm
1,Kelly's Beer & Wine
1,Kelly Food Mart
1,Kelly Fuel Station
1,Kennedale Filling Station
1,Kent Kwik 470
1,Kent Kwik 471
1,Kiddist Inc. 23989
1,Kiest Food Mart
1,Kijan Market  Llc
1,Kings Beer & Wine
1,Klasic Food Mart
1,Knight Stop
1,Knox Super Stop
1,Koala Bears
1,Kold Spot 33
1,Komart Market Place
1,Konnect General Stores
1,Kool Zone Stop
1,Kpp Food Mart
87,Kroger
1,Kumasi Supermarket Inc.
1,Kwick Save Mart 00001
1,Kwik Chek 19
1,Kwik Fuel & Food
1,Kwik Mart
1,Kwik Pik Food Mart
1,Kwik Pik Food Store
1,KWIK PIK FOOD STORE # 8
1,Kwik Stop
1,Kwik Stop Beer & Wine 0
1,Kwik Vape And Grocerries
1,Kwikway Mart
10,La Azteca Meat Market
1,La Carreta Meat Market 1
1,La Cubana Latin Market And Bakery
1,La Cubana Latin Market And Bakery 2
1,La Familia
1,La Guadalupana
1,La Madrina
1,La Mexicana Meat Market #2
37,La Michoacana
1,La Paisana Meat Market Carniceria
1,La Potosina Carniceria
1,La Super Economica
1,La Super Economica 6
1,La Super Meat Market #7
1,La Tapatia Bakery & Mexican Products
1,La Tapatia Meat Market
1,La Tiendita
1,La Tradicion Meat Market Y Taqueria
1,La Unica Meat Market Corp
1,La Verde
1,La Victoria Carniceria
1,Labaf African Market
1,Lagow Food Mart
1,Lake Stop
1,Lake Worth Farmers Market
1,Lake Worth Food Mart
1,Lake Worth Mart
1,Lakeview Food Mart 1
1,Lakewood Tower Farmers Market- Good Local Markets
1,Lakewood Village Farmers Market 2
1,Lama 02 00002
1,Lama 10 00001
1,Lama 36 00001
2,Lamar Food Mart
1,Lancaster Food Marts
1,Lancaster Mini Mart
1,Las Colinas 9073
1,LAS TARASCAS
1,Latin Cuba
1,Latino Market
1,Lawson Convenience Store
1,Lbj Foodmart 1
1,LBJ Gas & More
1,Leelah African Store
1,Legacy Beverage
1,Let's Stop
1,Lewisville 9026
1,Lewisvilleibllc
1,Lifeland Market Llc 1
1,Lincoln Grocery Store
1,Lindas Liquor Beer Wine
1,Lion Beverage Mart
1,Lion Food Mart
1,Little Asia Bazar
1,Lizzy's African Market
1,LMMM Dallas  1 Ltd.
1,Lmmm Dallas 15 Ltd. 15
1,Lmmm Dallas 41 Ltd. 41
1,Lmmm Dallas 42 Ltd. 42
1,Lmmm Dallas 5 Ltd
1,Lobo Mart
1,LONE STAR FOOD STORE 4485
1,LONE STAR FOOD STORE 4488
1,LONE STAR FOOD STORE 4489
1,Longhorn Food Mart
1,Los Amigos
1,Los Molina Carniceria
1,Los Pastores Carniceria
1,Los Portales Meat Market Carniceria
1,Louisiana Seafood And Fish Market
5,Love's
1,Loving Mini Mart
1,Lp Food Mart
2,Lucky's Food Mart
1,Lucky Corner Mart
1,Lucky Mini Market
1,Lucky No. 7 Food Mart
1,Lusu African Market
1,Lvc Convenience
1,Lyan Asian Market & Restaurant Lyan001
1,M & M Food Mart
1,M&k Mediterranean Food Market
1,M&W Market
1,Macarthur Shell Food Mart
1,Madina Market Llc 1
1,Magnuson Airport Hotel
1,MAIN STOP FOOD STORE
1,Main Street Texaco
1,Malloy Shell
1,Malloyshell Mart
1,Malone's Cost Plus 2
1,Malone's Cost Plus 3
1,Malone's Cost Plus 7
1,Mama Jones African Food Market
1,Mame Injera
1,Manakamana Business Llc
1,Mango Tropical
1,Maple Mart
10,Market Street
1,Martsmart
1,Maru Grocery
1,Mary Food Mart
1,Matlock Express Mart
1,May Hao Market
1,Maypearl Quick Stop
1,Mazajna LLC
1,Mc Cloud Food Store
1,MCCART FOOD STORE
1,Md Divine Supermarket
1,Meadowbrook Food 1
1,Mecca Market 140
1,Meez Food Mart
1,Meo Food Mart
1,Mercado Durango
1,Mercado Fino
1,Mesquite Food Mart
1,Mesquite Mini Mart
1,Metro Food Mart -
1,Mi Bandera 1
1,Mi Pueblito Meat Market Llc Dal #2 5
1,Mi Tierra Carniceria #4
1,Mi Tierra Carniceria 2
1,Mi Tierra Carniceria 3
1,Mi Tierra Meat Market #1
1,Mica's Carniceria Y Tortilleria Iii 2
1,Micas Carniceria Y Tortilleria
1,Micas Carniceria Y Tortilleria Ii
1,MID-CITIES AFRICAN MARKET
1,Mid-cities Food & Beverages
1,Midway Beverage
1,Migalitos 5
1,Mighty Convenience
1,Military Quick Stop
1,Millennium African Store
1,Miller Corner Store
1,Miller Food Mart
1,Miller Grocery & Grill
1,Mini Mart
1,Minit Market
1,MINIT MARKIT
1,Miracle Mart
1,Mire's Market
1,Miss E's Mini Mart
1,Mj Seafood & Fish Market
1,MK Food Mart
1,MLK Food Mart
1,MM Food Mart
1,Mmtj Food Store
1,Mnm Food Mart
1,Modik African Market
1,Moks Market
1,Momo's African Market
1,Monjo
1,Monterrey Market 1
1,Montfort Mart N/A
1,Moonlight Food Mart
1,Motley Mart
1,Mr C Food Store
1,Mr Convenience
1,Mr Food Mart
1,Mr J Food Store
1,Mr Jakes Food Mart
1,Mr K Food Mart 2
1,Ms Food Mart
1,MSK Petro Inc
1,Mujic Store 26906
1,Mundo Latino Grocery
37,Murphy Express
46,Murphy USA
1,Mushi's #1
1,MY-T-MART
1,My-t-quick
1,My-t-quick Food Store
1,My Beer Store 8
1,My Munchy's 00001
1,My Stop
1,Myanmar Market
1,Myanmar Store 1
1,Myrtle Management Group LLC
1,N Richland Hills 9063
1,Nadeem Traders
1,Nadine Halal Market
1,Nagie Afrikan Market
1,Nah Kpanah African Market LLC
1,Namaste Grocery
1,Nanak Subzi Mandi
1,NASJRB Ft Worth 630
1,Nath Beauty Collection And African Store
6,Natural Grocers
1,Nava Mart
1,Navy Food Mart
1,Ndg Bakery And African Produce
1,Neighborhood Store
1,Neighborhoods Food
1,Neo's C-store
1,Nepali Indian Bazaar Retail
1,Neto'sfoodmart 01
1,New Best Food Mart
1,New Best Mart
1,New C Store A
1,New Dairy Way
1,New Diamond Grocery
1,New Diary Way #2
1,New Kwik Stop Conoco
1,New Quick Way Mart 1
1,New Season 24
1,New Texaco Food Mart
1,NEW TRUONG NGUYEN MARKET
1,New Valley Mart
1,New Wheel In
1,NFG Capital Partners Llc
1,NGUYEN LOI ORIENTAL SUPERMARKET
1,Nick's Corner Mart
1,North Richland Hills Farmers Market
1,Northwest Hwy Food Mart
1,Northwest Hwy Quick Stop
1,NRH Shell
1,Nursery Food Mart
1,Nutritional Products of Texas 10
1,Nutritional Products of Texas 15
1,Nutritional Products of Texas 18
1,Nutritional Products of Texas 20
1,Nutritional Products of Texas 22
1,Nutritional Products of Texas 25
1,Nutritional Products of Texas 26
1,Nutritional Products of Texas 5
1,NY Food Stop
1,Oak Grove Food Mart
1,Oak Grove Grocery & Deli
1,Oakland Shell
1,Oasis Food Mart
1,Oasis International Market
1,Oasis Mart Mesquite
1,Ocean 7 Food Mart
1,Ocean Mini Mart 4
1,Ocean Seafood Market
1,Octo Fuel #1
1,Octo Fuel #2
1,Octo Fuel #3
2,Ok Food Mart
1,OK Food Mart 5
1,Ok Food Mart 6
1,Ok Food Mart 7
1,Ok Food Mart 8
1,OK Food Mart 9
1,Ok Foods
1,Om Saam Llc
1,on video plus food mart 1
1,One Stop Beer And Wine
4,One Stop Food Store
2,One Stop Mart
1,One World Grocery
1,Onenation Relief & Charity
1,Onestop Shoppe 00001
1,Opal's Farm
1,Orale Food Mart
1,Oshuwa African Market
1,Osvaldo's Meat Market
1,Our C Store
1,Overton Texaco
1,PACKING HOUSE MARKET
1,Pak Bros Llc
1,Palms African Foodmart
1,Panther Market
1,Papa Murphy's Pizza - Burleson TX160
1,Papa Murphy's Pizza TX008
1,Papa Murphy's Pizza TX058
1,Papa Murphy's Pizza TX134
1,Papa Murphy's Pizza TX248
1,Papa Murphy's Take 'n' Bake Pizza 052
1,Papa Murphy's Take 'n' Bake Pizza 121
1,Papa Murphy's Take 'n' Bake Pizza 164
1,Papa Murphy's TX089
1,Papa Murphy's TX119
1,Papa Murphys Pizza TX025
1,Papaw's Food Store
1,Papawady Asian Market
1,Papawady Store
1,Paradise Quick Stop #1
1,Paradise Quick Stop #14 39309
1,Paradise Quick Stop 18
1,Park & Gas 01
1,Park Lane Mart
1,Parks Food
1,Parkway Food Mart
1,Passport #17 7
4,Patel Brothers
1,Paul's Food & Fuel Mart
1,Pay Low Food Beer & Wine
1,Payless Beer & Wine
1,Payless Food & Beer & Wine
1,Payless Fuel Center - Legacy
1,Payless Fuel Centers Of Texas Llc
1,Payless Fuel Travel Center
1,Payless Fuel/Riverside
1,Pepe's Corner Store
1,Petra International Market 1
1,Petro Mart 3
1,Phillips 66
1,Phillips Mart
1,Pic-n-go
1,Pick And Go
1,Pick Quick Deli Mart 2
4,Pilot
1,Pioneer Food Mart
1,Pioneer Groceries
1,Plano 9065
1,Plano Halal Meats
1,Plano World Market
1,Pleasant Grove Meat Market
1,Pops C-store
1,Posco Beer & Wine
1,Power Mart 19
1,Premier Meat Bazaar
1,Premo Drive
1,Primos Food Mart
1,Pronto Mart & Food
1,Prosper 9040
1,Providencia Market
1,Psm Msm Inc
3,Q Mart
1,Queen's Mart
1,Quick Check Grocery
1,Quick Chek Food Store 1
1,Quick Corner Store
1,Quick Elephant
1,Quick Food Mart
1,Quick Mart
1,Quick Mart 0
1,QUICK MART 3
1,Quick Mart 9
1,Quick Pak
1,Quick Pick 3
1,Quick Save
4,Quick Stop
1,Quick Stop Food Mart
1,Quick Track #5
1,Quick Track 3
1,Quick Track 4
1,Quick Way
1,Quick Way Corner Store
1,Quick Way Food Mart
1,Quickpick 2
1,Quickspot no
1,Quickway 02
1,Quickway Food Store
1,Quickway Food Store # 9
1,Quickway Food Store 6
1,Quickway Foods 2
1,Quickway Grocery
1,Quickway Market 02
1,Quickway Stop
1,Quik Mart Groceries And Gas 1
1,Quik Sak 1
1,Quik Sak 10
1,Quik Sak 20
1,Quik Sak 9
164,QuikTrip
1,R & R Food Mart
1,R M Foods 1
99,RaceTrac
10,Raceway
1,Raghu Riverside Inc
1,Rahmani Halal Market Llc
1,Ramallah Bakery Inc
1,Ramey Market
1,Ramsey Grocery
1,Ran Food Mart
1,Rapido Mart
1,Red Oak Mart
1,Red Store
1,Rendon Food Mart
1,Rendon Meats
1,Renko Sausage Company
1,Restorative Farms Market At Hatcher Station
1,Ria Food Mart & Wireless
1,Richardson Square Mart
1,Richland Market Grocery Inc.
1,Ridgeview Food Mart 01
1,Riverside C-store
1,RMKK Investments LLC
1,Rns Final Stop n/a
1,Rochelle Food Mart
1,Rock Island Fuels & Food Mart
1,Rosedale Food Mart
1,Rosy's Deli Beer & Wine
1,Royal International Food Market
1,Royal Market
1,Rsb Sahota Llc 38240A
1,Rufe Snow Farmers Market
1,S & A Food Mart
1,S & B Store
1,S & K Grocery
1,S & S Food Store
1,S & T Food Mart
1,S Buckner Mart
