Brand,Parent,Sust_Score,Sust_Label,Reports_ESG,SBTi,Renew_Pct,Waste_Pct,Target,Programs,Report_URL,Confidence
Dollar General,Dollar General Corp. (NYSE: DG),3,Moderate,Yes,,-1.0,66.0,"Intensity only: -15% by 2026 (met), -30% by 2031 vs 2020 per sq ft",ISO 50001 energy mgmt in 99% of stores,https://www.dollargeneral.com/content/dam/dg/assets/landing-pages/public-relations/corporate-social-responsibility/documents/Serving-Others-Report-FY25.pdf,High
Dollar Tree,"Dollar Tree, Inc. (NASDAQ: DLTR)",3,Moderate,Yes,"None (1.5C-aligned, unvalidated)",-1.0,70.0,Scope 1+2 -50% by FY2032 vs FY2023; net zero 2050,Energy Efficiency Standard for new stores,https://corporate.dollartree.com/values/environmental-stewardship,High
Family Dollar,Brigade Capital / Macellum (private since Jul 2025),1,None / Undisclosed,No,,-1.0,-1.0,None since divestiture from Dollar Tree,None post-divestiture,,Low
CVS,CVS Health Corp. (NYSE: CVS),5,Leader,Yes,Net-zero validated (2021),33.0,63.0,Scope 1+2 -47% by 2030 vs 2019 (-43% by 2025); net zero 2050,Seven renewable PPAs; fleet electrification,https://www.cvshealth.com/impact/healthy-planet/climate-resiliency-and-energy.html,High
Walgreens,"Walgreens Boots Alliance (private, Sycamore 2025)",3,Moderate,Yes,,1.0,-1.0,Scope 1+2 -30% by FY2030 vs FY2019 (achieved -38% by FY2025); no net zero,$500M+ efficiency upgrades; Green Box product recovery,https://corporate.walgreens.com/wp-content/uploads/2026/03/Walgreens-Impact-Report_FY25.pdf,High
QuikTrip,QuikTrip Corp. (private),1,None / Undisclosed,No,,-1.0,-1.0,,None found,,High
RaceTrac,"RaceTrac, Inc. (private)",1,None / Undisclosed,No,,-1.0,-1.0,,"EV chargers (DFW, 2023)",,High
Raceway,"RaceTrac, Inc. (private)",1,None / Undisclosed,No,,-1.0,-1.0,,See RaceTrac,,High
Circle K,Alimentation Couche-Tard (TSX: ATD),4,Strong,Yes,None found,-1.0,-1.0,Scope 1+2 -24% vs 2020 achieved FY2026; 30% of sites carbon-neutral by 2030; no net zero,"4,700+ EV charge points; $1B renewable investment goal",https://corporate.couche-tard.com/planet/,Medium
Murphy USA,Murphy USA Inc. (NYSE: MUSA),1,None / Undisclosed,Partial,,-1.0,-1.0,None; discloses Scope 1+2 only,Annual ESG Summary only,https://ir.corporate.murphyusa.com/investor-relations/esg-summary/default.aspx,Medium
Murphy Express,Murphy USA Inc.,1,None / Undisclosed,Partial,,-1.0,-1.0,See Murphy USA,See Murphy USA,https://ir.corporate.murphyusa.com/investor-relations/esg-summary/default.aspx,Medium
Braum's,"W.H. Braum, Inc. (private)",1,None / Undisclosed,No,,-1.0,-1.0,,None found,,High
